Optimizer,objfname,startTime,EndTime,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5
SMO,F1,2019-03-05-21-14-16,2019-03-05-21-14-16,0.0,41155.074040673506,36015.92436487238,31322.524147415377,22676.22003641794,16885.690190377478
SMO,F1,2019-03-05-21-14-16,2019-03-05-21-14-16,0.0,43037.7354324485,39489.385479140445,34594.377076688805,34076.04362651155,24538.83392808765
