Optimizer,objfname,startTime,EndTime,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5

SMO,F1,2019-03-05-21-11-44,2019-03-05-21-11-44,0.006507396697998047,51625.23894363255,21638.164578830445,13761.676195343656,13011.69248312825,12947.579352435094

SMO,F1,2019-03-05-21-11-44,2019-03-05-21-11-44,0.015630483627319336,41748.02676780604,41748.02676780604,28074.84630501939,26264.550542170666,23039.158874086857

